"department","code","name","amount","year"
"505","REPR","Maintenance and Repair",14566724.56,2013
"505","ADMN","Other Administrative and Operating",13725748,2013
"505","PRNT","Printing",548780.65,2013
"505","PROF","Professional and Contractual Services",26508903.5,2013
"505","RENT","Rent & Lease",20413168.12,2013
"505","SPLY","Supplies",42706443.49,2013
"505","TELE","Telecommunications",1417587.19,2013
"505","TRAV","Travel and Training",1893321.51,2013
"505",NA,"Total:",252615611.93,2013
"505","ASST","Capital Assets",15131498.11,2014
"505","PROJ","Capital Projects",10688706.74,2014
"505","UTIL","Fuel and Utilities",76114527.96,2014
"505","INSR","Insurance",14919282.27,2014
"505","REPR","Maintenance and Repair",17358339.83,2014
"505","ADMN","Other Administrative and Operating",11300852.01,2014
"505","PRNT","Printing",542365.8,2014
"505","PROF","Professional and Contractual Services",35341402.93,2014
"505","RENT","Rent & Lease",20312958.4,2014
"505","SPEC","Special Purpose",2.5e+07,2014
"505","SPLY","Supplies",43798349.54,2014
"505","TELE","Telecommunications",1404723.02,2014
"505","TRAV","Travel and Training",2047142.07,2014
"505",NA,"Total:",273960148.68,2014
"505","ASST","Capital Assets",16465021.94,2015
"505","PROJ","Capital Projects",11694631.04,2015
"505","UTIL","Fuel and Utilities",57245168.52,2015
"505","INSR","Insurance",25748389.42,2015
"505","REPR","Maintenance and Repair",23731246.84,2015
"505","ADMN","Other Administrative and Operating",10962535.24,2015
"505","PRNT","Printing",482867.08,2015
"505","PROF","Professional and Contractual Services",44204288.76,2015
"505","RENT","Rent & Lease",21218846.99,2015
"505","SPLY","Supplies",44686590.25,2015
"505","TELE","Telecommunications",1505683.49,2015
"505","TRAV","Travel and Training",1966020.41,2015
"505",NA,"Total:",259911289.98,2015
"505","ASST","Capital Assets",43101004.33,2016
"505","PROJ","Capital Projects",2511829.28,2016
"505","FRNG","Fringe Benefits",32758801.13,2016
"505","UTIL","Fuel and Utilities",40522752.97,2016
"505","INSR","Insurance",20050912.6,2016
"505","REPR","Maintenance and Repair",18041430.13,2016
"505","ADMN","Other Administrative and Operating",25815479.09,2016
"505","PRNT","Printing",356820.37,2016
"505","PROF","Professional and Contractual Services",34633255.89,2016
"505","RENT","Rent & Lease",16133865.47,2016
"505","SPLY","Supplies",40562346.08,2016
"505","TELE","Telecommunications",1198829.14,2016
"505","TRAV","Travel and Training",806414.26,2016
"505",NA,"Total:",276493740.74,2016
"505","ASST","Capital Assets",36733253.76,2017
"505","PROJ","Capital Projects",36965500.18,2017
"505","FRNG","Fringe Benefits",41930122.69,2017
"505","UTIL","Fuel and Utilities",46824753.42,2017
"505","INSR","Insurance",14502741.98,2017
"505","REPR","Maintenance and Repair",21109532.25,2017
"505","ADMN","Other Administrative and Operating",270365215.35,2017
"505","PRNT","Printing",469531.82,2017
"505","PROF","Professional and Contractual Services",46251052.21,2017
"505","RENT","Rent & Lease",14854268.66,2017
"505","SPEC","Special Purpose",2310,2017
"505","SPLY","Supplies",42051933.91,2017
"505","TELE","Telecommunications",1224561.09,2017
"505","TRAV","Travel and Training",618167.58,2017
"505",NA,"Total:",573902944.9,2017
"505","ASST","Capital Assets",56870281.12,2018
"505","PROJ","Capital Projects",146867595.85,2018
"505","FRNG","Fringe Benefits",42859735.89,2018
"505","UTIL","Fuel and Utilities",48906749.74,2018
"505","INSR","Insurance",21955900.96,2018
"505","REPR","Maintenance and Repair",22654851.02,2018
"505","ADMN","Other Administrative and Operating",212569997.97,2018
"505","PRNT","Printing",345438.52,2018
"505","PROF","Professional and Contractual Services",43944403.33,2018
"505","RENT","Rent & Lease",14988626.51,2018
"505","SPLY","Supplies",36233186.27,2018
"505","TELE","Telecommunications",1381729.89,2018
"505","TRAV","Travel and Training",729926.16,2018
"505",NA,"Total:",650308423.23,2018
"505","ASST","Capital Assets",20625427.15,2019
"505","PROJ","Capital Projects",1563725.34,2019
"505","FRNG","Fringe Benefits",41919604.58,2019
"505","UTIL","Fuel and Utilities",47506467.94,2019
"505","INSR","Insurance",20452580.35,2019
"505","REPR","Maintenance and Repair",21007590.78,2019
"505","ADMN","Other Administrative and Operating",195518431.51,2019
"505","PRNT","Printing",418414.74,2019
"505","PROF","Professional and Contractual Services",32714409.16,2019
"505","RENT","Rent & Lease",17549001.43,2019
"505","SPLY","Supplies",23362023.21,2019
"505","TELE","Telecommunications",927506.18,2019
"505","TRAV","Travel and Training",861385.63,2019
"505",NA,"Total:",424426568,2019
"505","ASST","Capital Assets",24914716.11,2020
"505","PROJ","Capital Projects",1640450.07,2020
"505","FRNG","Fringe Benefits",42820657.05,2020
"505","UTIL","Fuel and Utilities",41913359.61,2020
"505","INSR","Insurance",22409807.85,2020
"505","REPR","Maintenance and Repair",22747983.43,2020
"505","ADMN","Other Administrative and Operating",300184034.56,2020
"505","PRNT","Printing",522682.03,2020
"505","PROF","Professional and Contractual Services",35190984.82,2020
"505","RENT","Rent & Lease",17655197.46,2020
"505","SPEC","Special Purpose",183222,2020
"505","SPLY","Supplies",31639547.98,2020
"505","TELE","Telecommunications",1105854.84,2020
"505","TRAV","Travel and Training",1181040.43,2020
"505",NA,"Total:",544109538.24,2020
"505","ASST","Capital Assets",18208407.8,2021
"505","PROJ","Capital Projects",1362770.77,2021
"505","FRNG","Fringe Benefits",37816810.08,2021
"505","UTIL","Fuel and Utilities",42481180.28,2021
"505","INSR","Insurance",12544691.14,2021
"505","REPR","Maintenance and Repair",16751636.18,2021
"505","ADMN","Other Administrative and Operating",887117171.56,2021
"505","PRNT","Printing",398238.88,2021
"505","PROF","Professional and Contractual Services",256292195.82,2021
"505","RENT","Rent & Lease",19462861.73,2021
"505","SPLY","Supplies",8444596.41,2021
"505","TELE","Telecommunications",1036679.67,2021
"505","TRAV","Travel and Training",337123.83,2021
"505",NA,"Total:",1302254364.15,2021
"505","ASST","Capital Assets",24415154.61,2022
"505","PROJ","Capital Projects",1101522.38,2022
"505","FRNG","Fringe Benefits",41339994.92,2022
"505","UTIL","Fuel and Utilities",65734773.02,2022
"505","INSR","Insurance",18406083.21,2022
"505","REPR","Maintenance and Repair",18290021.21,2022
"505","ADMN","Other Administrative and Operating",1668269245.7,2022
"505","PRNT","Printing",406076.36,2022
"505","PROF","Professional and Contractual Services",37788284.81,2022
"505","RENT","Rent & Lease",17261880.33,2022
"505","SPLY","Supplies",9564644.6,2022
"505","TELE","Telecommunications",2757539.87,2022
"505","TRAV","Travel and Training",795815,2022
"505",NA,"Total:",1906131036.02,2022
"505","ASST","Capital Assets",25916663.09,2023
"505","PROJ","Capital Projects",986236.13,2023
"505","FRNG","Fringe Benefits",28578040.03,2023
"505","UTIL","Fuel and Utilities",42788471.68,2023
"505","INSR","Insurance",22430439.71,2023
"505","REPR","Maintenance and Repair",13073112.88,2023
"505","ADMN","Other Administrative and Operating",361041442.49,2023
"505","PRNT","Printing",375938.86,2023
"505","PROF","Professional and Contractual Services",19711365.64,2023
"505","RENT","Rent & Lease",17611706.72,2023
"505","SPLY","Supplies",7927865.67,2023
"505","TELE","Telecommunications",1613277.62,2023
"505","TRAV","Travel and Training",730557.14,2023
"505",NA,"Total:",542785117.66,2023
"115","ASST","Capital Assets",431805.8,2008
"115","UTIL","Fuel and Utilities",41469.18,2008
"115","INSR","Insurance",184387.14,2008
"115","REPR","Maintenance and Repair",200138.52,2008
"115","ADMN","Other Administrative and Operating",1355608.95,2008
"115","PRNT","Printing",133030.33,2008
"115","PROF","Professional and Contractual Services",5752653.33,2008
"115","RENT","Rent & Lease",2647152.89,2008
"115","SPLY","Supplies",1468722.36,2008
"115","TELE","Telecommunications",484732.47,2008
"115","TRAV","Travel and Training",2946784.47,2008
"115",NA,"Total:",15646485.44,2008
"115","ASST","Capital Assets",318534.2,2009
"115","UTIL","Fuel and Utilities",33612.83,2009
"115","INSR","Insurance",653839.92,2009
"115","REPR","Maintenance and Repair",266717.24,2009
"115","ADMN","Other Administrative and Operating",1506103.81,2009
"115","PRNT","Printing",145619.51,2009
"115","PROF","Professional and Contractual Services",5800865.75,2009
"115","RENT","Rent & Lease",2775197.77,2009
"115","SPLY","Supplies",1509563.39,2009
"115","TELE","Telecommunications",523867.72,2009
"115","TRAV","Travel and Training",3280154.08,2009
"115",NA,"Total:",16814076.22,2009
"115","ASST","Capital Assets",255164.48,2010
"115","UTIL","Fuel and Utilities",34010.78,2010
"115","INSR","Insurance",462704,2010
"115","REPR","Maintenance and Repair",294006.3,2010
"115","ADMN","Other Administrative and Operating",1550004.55,2010
"115","PRNT","Printing",153422.89,2010
"115","PROF","Professional and Contractual Services",6128006.75,2010
"115","RENT","Rent & Lease",2911357.58,2010
"115","SPLY","Supplies",1388739.86,2010
"115","TELE","Telecommunications",500167.43,2010
"115","TRAV","Travel and Training",3342282.15,2010
"115",NA,"Total:",17019866.77,2010
"115","ASST","Capital Assets",335697.89,2011
"115","UTIL","Fuel and Utilities",53667.56,2011
"115","INSR","Insurance",445954.66,2011
"115","REPR","Maintenance and Repair",355972.37,2011
"115","ADMN","Other Administrative and Operating",1390089.63,2011
"115","PRNT","Printing",135624.34,2011
"115","PROF","Professional and Contractual Services",6429042.86,2011
"115","RENT","Rent & Lease",2892744.61,2011
"115","SPLY","Supplies",1274689.9,2011
"115","TELE","Telecommunications",469735.85,2011
"115","TRAV","Travel and Training",3287720.83,2011
"115",NA,"Total:",17070940.5,2011
"115","ASST","Capital Assets",169217.7,2012
"115","UTIL","Fuel and Utilities",70774.15,2012
"115","INSR","Insurance",388482,2012
"115","REPR","Maintenance and Repair",329038.87,2012
"115","ADMN","Other Administrative and Operating",1353301.73,2012
"115","PRNT","Printing",105968.72,2012
"115","PROF","Professional and Contractual Services",5088368.8,2012
"115","RENT","Rent & Lease",2884826.8,2012
"115","SPLY","Supplies",1500057.31,2012
"115","TELE","Telecommunications",424174.77,2012
"115","TRAV","Travel and Training",2951937.27,2012
"115",NA,"Total:",15266148.12,2012
"115","ASST","Capital Assets",442628.84,2013
"115","UTIL","Fuel and Utilities",51315.68,2013
"115","INSR","Insurance",265680,2013
"115","REPR","Maintenance and Repair",326506.87,2013
"115","ADMN","Other Administrative and Operating",1312606.82,2013
"115","PRNT","Printing",106408.17,2013
"115","PROF","Professional and Contractual Services",5285588.56,2013
"115","RENT","Rent & Lease",2789088.79,2013
"115","SPLY","Supplies",1409545.17,2013
"115","TELE","Telecommunications",452641.5,2013
"115","TRAV","Travel and Training",2886083.36,2013
"115",NA,"Total:",15328093.76,2013
"115","ASST","Capital Assets",1560515.25,2014
"115","UTIL","Fuel and Utilities",72744.04,2014
"115","INSR","Insurance",173690,2014
"115","REPR","Maintenance and Repair",428456.87,2014
"115","ADMN","Other Administrative and Operating",3299776.92,2014
"115","PRNT","Printing",85737.86,2014
"115","PROF","Professional and Contractual Services",6496619.36,2014
"115","RENT","Rent & Lease",2939820.05,2014
"115","SPLY","Supplies",2226032.2,2014
"115","TELE","Telecommunications",496711.72,2014
"115","TRAV","Travel and Training",3215759.39,2014
"115",NA,"Total:",20995863.66,2014
"115","ASST","Capital Assets",1393741.43,2015
"115","UTIL","Fuel and Utilities",68049.2,2015
"115","INSR","Insurance",335282,2015
"115","REPR","Maintenance and Repair",417811.28,2015
"115","ADMN","Other Administrative and Operating",3632944.86,2015
"115","PRNT","Printing",87923.04,2015
"115","PROF","Professional and Contractual Services",6598002.98,2015
"115","RENT","Rent & Lease",3154026.35,2015
"115","SPLY","Supplies",1922085.63,2015
"115","TELE","Telecommunications",470050.01,2015
"115","TRAV","Travel and Training",3255955.55,2015
"115",NA,"Total:",21335872.33,2015
"115","ASST","Capital Assets",143363.74,2016
"115","FRNG","Fringe Benefits",9434716.99,2016
"115","UTIL","Fuel and Utilities",28213.29,2016
"115","INSR","Insurance",4026,2016
"115","REPR","Maintenance and Repair",542210.03,2016
"115","ADMN","Other Administrative and Operating",3632452.86,2016
"115","PRNT","Printing",68101.84,2016
"115","PROF","Professional and Contractual Services",3433301.58,2016
"115","RENT","Rent & Lease",3195803.28,2016
"115","SPLY","Supplies",2155227.21,2016
"115","TELE","Telecommunications",444547.01,2016
"115","TRAV","Travel and Training",1283936.85,2016
"115",NA,"Total:",24365900.68,2016
"115","ASST","Capital Assets",288472.58,2017
"115","PROJ","Capital Projects",17744.12,2017
"115","FRNG","Fringe Benefits",13173775.08,2017
"115","UTIL","Fuel and Utilities",25987.34,2017
"115","REPR","Maintenance and Repair",605423.79,2017
"115","ADMN","Other Administrative and Operating",4254378.78,2017
"115","PRNT","Printing",57631.19,2017
"115","PROF","Professional and Contractual Services",3372109.45,2017
"115","RENT","Rent & Lease",3285011.51,2017
"115","SPLY","Supplies",2398016.31,2017
"115","TELE","Telecommunications",456201.43,2017
"115","TRAV","Travel and Training",723733.5,2017
"115",NA,"Total:",28658485.08,2017
"115","ASST","Capital Assets",262924.42,2018
"115","FRNG","Fringe Benefits",13215275.57,2018
"115","UTIL","Fuel and Utilities",32740.04,2018
"115","REPR","Maintenance and Repair",494328.78,2018
"115","ADMN","Other Administrative and Operating",7043132.87,2018
"115","PRNT","Printing",52267.81,2018
"115","PROF","Professional and Contractual Services",3033413.69,2018
"115","RENT","Rent & Lease",448880.7,2018
"115","SPLY","Supplies",1354714.66,2018
"115","TELE","Telecommunications",429734.28,2018
"115","TRAV","Travel and Training",1093692.99,2018
"115",NA,"Total:",27461105.81,2018
"115","ASST","Capital Assets",324577.77,2019
"115","FRNG","Fringe Benefits",13257021.41,2019
"115","UTIL","Fuel and Utilities",34003.1,2019
"115","INSR","Insurance",4188,2019
"115","REPR","Maintenance and Repair",431926.15,2019
"115","ADMN","Other Administrative and Operating",8343842.06,2019
"115","PRNT","Printing",44439.17,2019
"115","PROF","Professional and Contractual Services",4145259.02,2019
"115","RENT","Rent & Lease",424653.65,2019
"115","SPLY","Supplies",1048219.05,2019
"115","TELE","Telecommunications",427078.75,2019
"115","TRAV","Travel and Training",1155098.6,2019
"115",NA,"Total:",29640306.73,2019
"115","ASST","Capital Assets",450333.08,2020
"115","FRNG","Fringe Benefits",13871279.21,2020
"115","UTIL","Fuel and Utilities",34744.17,2020
"115","REPR","Maintenance and Repair",450219.28,2020
"115","ADMN","Other Administrative and Operating",7872046.19,2020
"115","PRNT","Printing",34569.45,2020
"115","PROF","Professional and Contractual Services",4182587.78,2020
"115","RENT","Rent & Lease",447734.21,2020
"115","SPLY","Supplies",1726474.66,2020
"115","TELE","Telecommunications",438782.88,2020
"115","TRAV","Travel and Training",984239.35,2020
"115",NA,"Total:",30493010.26,2020
"115","ASST","Capital Assets",606621.62,2021
"115","FRNG","Fringe Benefits",12370542.75,2021
"115","UTIL","Fuel and Utilities",32618.45,2021
"115","REPR","Maintenance and Repair",375441.05,2021
"115","ADMN","Other Administrative and Operating",7094589.56,2021
"115","PRNT","Printing",30356.91,2021
"115","PROF","Professional and Contractual Services",4234946.1,2021
"115","RENT","Rent & Lease",393611.47,2021
"115","SPEC","Special Purpose",646500,2021
"115","SPLY","Supplies",1032491.82,2021
"115","TELE","Telecommunications",456369.62,2021
"115","TRAV","Travel and Training",456677.03,2021
"115",NA,"Total:",27730766.38,2021
"115","ASST","Capital Assets",406141.03,2022
"115","FRNG","Fringe Benefits",13159043.2,2022
"115","UTIL","Fuel and Utilities",50975.5,2022
"115","INSR","Insurance",288745,2022
"115","REPR","Maintenance and Repair",281305.64,2022
"115","ADMN","Other Administrative and Operating",7413827.43,2022
"115","PRNT","Printing",20753.24,2022
"115","PROF","Professional and Contractual Services",4326477.93,2022
"115","RENT","Rent & Lease",542463.97,2022
"115","SPLY","Supplies",1715574.83,2022
"115","TELE","Telecommunications",426306.72,2022
"115","TRAV","Travel and Training",681697.35,2022
"115",NA,"Total:",29313311.84,2022
"115","ASST","Capital Assets",478954.94,2023
"115","FRNG","Fringe Benefits",8832301.3,2023
"115","UTIL","Fuel and Utilities",31907.36,2023
"115","INSR","Insurance",254204,2023
"115","REPR","Maintenance and Repair",171701.63,2023
"115","ADMN","Other Administrative and Operating",5133901.89,2023
"115","PRNT","Printing",34489.98,2023
"115","PROF","Professional and Contractual Services",5087970.42,2023
"115","RENT","Rent & Lease",365117.78,2023
"115","SPEC","Special Purpose",1860,2023
"115","SPLY","Supplies",966974.15,2023
"115","TELE","Telecommunications",268787.47,2023
"115","TRAV","Travel and Training",658698.06,2023
"115",NA,"Total:",22286868.98,2023
"215","INSR","Insurance",777,2008
"215","REPR","Maintenance and Repair",20.5,2008
"215","ADMN","Other Administrative and Operating",4454.02,2008
"215","PRNT","Printing",24635.93,2008
"215","PROF","Professional and Contractual Services",734673.14,2008
"215","RENT","Rent & Lease",60989.02,2008
"215","SPLY","Supplies",7581.08,2008
"215","TELE","Telecommunications",5489.68,2008
"215","TRAV","Travel and Training",48368.86,2008
"215",NA,"Total:",886989.23,2008
"215","INSR","Insurance",788,2009
"215","REPR","Maintenance and Repair",204.5,2009
"215","ADMN","Other Administrative and Operating",3984.4,2009
"215","PRNT","Printing",24275.66,2009
"215","PROF","Professional and Contractual Services",634346.96,2009
"215","RENT","Rent & Lease",64381.64,2009
"215","SPLY","Supplies",12829.63,2009
"215","TELE","Telecommunications",5469.25,2009
"215","TRAV","Travel and Training",75922.67,2009
"215",NA,"Total:",822202.71,2009
"215","INSR","Insurance",806,2010
"215","REPR","Maintenance and Repair",471.87,2010
"215","ADMN","Other Administrative and Operating",4880.32,2010
"215","PRNT","Printing",28689.93,2010
"215","PROF","Professional and Contractual Services",493007.8,2010
"215","RENT","Rent & Lease",67860.33,2010
"215","SPLY","Supplies",14432.7,2010
"215","TELE","Telecommunications",5261.07,2010
"215","TRAV","Travel and Training",48956.63,2010
"215",NA,"Total:",664366.65,2010
"215","INSR","Insurance",758,2011
"215","REPR","Maintenance and Repair",372,2011
"215","ADMN","Other Administrative and Operating",4283.92,2011
"215","PRNT","Printing",6606.79,2011
"215","PROF","Professional and Contractual Services",1157924.23,2011
"215","RENT","Rent & Lease",60814.21,2011
"215","SPLY","Supplies",5321.33,2011
"215","TELE","Telecommunications",5149.29,2011
"215","TRAV","Travel and Training",72150.21,2011
"215",NA,"Total:",1313379.98,2011
"215","ADMN","Other Administrative and Operating",24.45,2012
"215","PROF","Professional and Contractual Services",267418,2012
"215","SPLY","Supplies",23.17,2012
"215",NA,"Total:",267465.62,2012
"215","PROF","Professional and Contractual Services",53650,2013
"215",NA,"Total:",53650,2013
"215","No Categories",NA,NA,2014
"215",NA,"Total:",0,2014
"215","No Categories",NA,NA,2015
"215",NA,"Total:",0,2015
"215","No Categories",NA,NA,2016
"215",NA,"Total:",0,2016
"215","No Categories",NA,NA,2017
"215",NA,"Total:",0,2017
"215","No Categories",NA,NA,2018
"215",NA,"Total:",0,2018
"215","No Categories",NA,NA,2019
"215",NA,"Total:",0,2019
"215","No Categories",NA,NA,2020
"215",NA,"Total:",0,2020
"215","No Categories",NA,NA,2021
"215",NA,"Total:",0,2021
"215","No Categories",NA,NA,2022
"215",NA,"Total:",0,2022
"215","No Categories",NA,NA,2023
"215",NA,"Total:",0,2023
"438","ADMN","Other Administrative and Operating",20,2008
"438","PROF","Professional and Contractual Services",19659,2008
"438","RENT","Rent & Lease",22948.56,2008
"438","TELE","Telecommunications",46.97,2008
"438","TRAV","Travel and Training",2031.55,2008
"438",NA,"Total:",44706.08,2008
"438","REPR","Maintenance and Repair",6643.59,2009
"438","ADMN","Other Administrative and Operating",70800.24,2009
"438","PRNT","Printing",5450.48,2009
"438","PROF","Professional and Contractual Services",48767.57,2009
"438","RENT","Rent & Lease",101080.21,2009
"438","SPLY","Supplies",23001.02,2009
"438","TELE","Telecommunications",2934.23,2009
"438","TRAV","Travel and Training",43871.97,2009
"438",NA,"Total:",302549.31,2009
"438","REPR","Maintenance and Repair",649.8,2010
"438","ADMN","Other Administrative and Operating",81640.49,2010
"438","PRNT","Printing",9867.63,2010
"438","PROF","Professional and Contractual Services",62304.46,2010
"438","RENT","Rent & Lease",103174.51,2010
"438","SPLY","Supplies",17280.73,2010
"438","TELE","Telecommunications",4381.18,2010
"438","TRAV","Travel and Training",63212.18,2010
"438",NA,"Total:",342510.98,2010
"438","INSR","Insurance",535,2011
"438","REPR","Maintenance and Repair",431.05,2011
"438","ADMN","Other Administrative and Operating",43206.26,2011
"438","PRNT","Printing",7644.99,2011
"438","PROF","Professional and Contractual Services",86497.6,2011
"438","RENT","Rent & Lease",62251.56,2011
"438","SPLY","Supplies",17526.9,2011
"438","TELE","Telecommunications",6913.92,2011
"438","TRAV","Travel and Training",81117.51,2011
"438",NA,"Total:",306124.79,2011
"438","INSR","Insurance",502,2012
"438","REPR","Maintenance and Repair",1155.44,2012
"438","ADMN","Other Administrative and Operating",26664.96,2012
"438","PRNT","Printing",4319.41,2012
"438","PROF","Professional and Contractual Services",14935.79,2012
"438","RENT","Rent & Lease",54608.9,2012
"438","SPLY","Supplies",21734.61,2012
"438","TELE","Telecommunications",5110.13,2012
"438","TRAV","Travel and Training",53941.48,2012
"438",NA,"Total:",182972.72,2012
"438","INSR","Insurance",491,2013
"438","REPR","Maintenance and Repair",6650.76,2013
"438","ADMN","Other Administrative and Operating",29311.85,2013
"438","PRNT","Printing",4920.48,2013
"438","PROF","Professional and Contractual Services",31723.14,2013
"438","RENT","Rent & Lease",44240.68,2013
"438","SPLY","Supplies",17179.24,2013
"438","TELE","Telecommunications",6780.85,2013
"438","TRAV","Travel and Training",55941.78,2013
"438",NA,"Total:",197239.78,2013
"438","INSR","Insurance",566,2014
"438","REPR","Maintenance and Repair",4120.85,2014
"438","ADMN","Other Administrative and Operating",31025.1,2014
"438","PRNT","Printing",3707.66,2014
"438","PROF","Professional and Contractual Services",86659.87,2014
"438","RENT","Rent & Lease",74263.18,2014
"438","SPLY","Supplies",21483.73,2014
"438","TELE","Telecommunications",4085.98,2014
"438","TRAV","Travel and Training",46998.55,2014
"438",NA,"Total:",272910.92,2014
"438","REPR","Maintenance and Repair",9173.75,2015
"438","ADMN","Other Administrative and Operating",34311.42,2015
"438","PRNT","Printing",8767.22,2015
"438","PROF","Professional and Contractual Services",192815.33,2015
"438","RENT","Rent & Lease",83532.73,2015
"438","SPLY","Supplies",17095.85,2015
"438","TELE","Telecommunications",4294.98,2015
"438","TRAV","Travel and Training",71038.07,2015
"438",NA,"Total:",421029.35,2015
"438","FRNG","Fringe Benefits",122274.27,2016
"438","INSR","Insurance",1399,2016
"438","REPR","Maintenance and Repair",1115,2016
"438","ADMN","Other Administrative and Operating",45367.81,2016
"438","PRNT","Printing",533.16,2016
"438","PROF","Professional and Contractual Services",329106.44,2016
"438","RENT","Rent & Lease",72759.26,2016
"438","SPLY","Supplies",75581.13,2016
"438","TELE","Telecommunications",8629.3,2016
"438","TRAV","Travel and Training",25449.19,2016
"438",NA,"Total:",682214.56,2016
"438","FRNG","Fringe Benefits",158561.75,2017
"438","INSR","Insurance",1067,2017
"438","ADMN","Other Administrative and Operating",86814.06,2017
"438","PROF","Professional and Contractual Services",1496854.08,2017
"438","RENT","Rent & Lease",98126.62,2017
"438","SPLY","Supplies",62272.87,2017
"438","TELE","Telecommunications",11295.93,2017
"438","TRAV","Travel and Training",42836.45,2017
"438",NA,"Total:",1957828.76,2017
"438","FRNG","Fringe Benefits",156305.25,2018
"438","INSR","Insurance",1265,2018
"438","REPR","Maintenance and Repair",2697.22,2018
"438","ADMN","Other Administrative and Operating",1160475.89,2018
"438","PROF","Professional and Contractual Services",340930.63,2018
"438","RENT","Rent & Lease",93509.67,2018
"438","SPLY","Supplies",60870.53,2018
"438","TELE","Telecommunications",7465.98,2018
"438","TRAV","Travel and Training",53763.56,2018
"438",NA,"Total:",1877283.73,2018
"438","FRNG","Fringe Benefits",159011.57,2019
"438","REPR","Maintenance and Repair",6054.78,2019
"438","ADMN","Other Administrative and Operating",917918.23,2019
"438","PROF","Professional and Contractual Services",366957.99,2019
"438","RENT","Rent & Lease",72758.93,2019
"438","SPLY","Supplies",25973.77,2019
"438","TELE","Telecommunications",7437.97,2019
"438","TRAV","Travel and Training",88878.26,2019
"438",NA,"Total:",1644991.5,2019
"438","FRNG","Fringe Benefits",186163.41,2020
"438","UTIL","Fuel and Utilities",13.82,2020
"438","INSR","Insurance",1667,2020
"438","REPR","Maintenance and Repair",4519.39,2020
"438","ADMN","Other Administrative and Operating",513380.64,2020
"438","PROF","Professional and Contractual Services",354370.02,2020
"438","RENT","Rent & Lease",134623.06,2020
"438","SPLY","Supplies",17693.86,2020
"438","TELE","Telecommunications",4626.63,2020
"438","TRAV","Travel and Training",87687.68,2020
