FICO,TotalAmtOwed,Volume,Stress,Num_Delinquent,Num_CreditLines,WomanOwned,CorpStructure,NAICS,Months
676,271585.088,119671.77181993863,0.18911803780025518,5,8,0,Corp,441120,25
697,354851.095,112603.36941448801,0.26261136533565055,5,9,0,LLC,459210,20
714,32420.815,21837.122581037762,0.12372209632048231,4,12,1,Sole,441120,12
684,27070.815,6853.784372652386,0.3291468081489957,5,11,0,LLC,459910,14
641,557613.934,259449.67187725808,0.17910150934905247,5,10,0,Sole,458310,23
648,92740.191,43419.55270986022,0.17799237365807677,5,8,1,Sole,445131,14
706,84892.328,31104.21939723595,0.22744054677338482,5,12,1,Partner,445110,16
757,57938.634,8232.908787861612,0.5864536610825328,4,9,1,Partner,722410,10
724,284181.517,69751.15399409742,0.3395182979386602,4,12,0,LLC,458310,28
682,19131.962,9299.946752537971,0.17143433280750464,5,12,0,Partner,445291,12
599,536673.936,253474.09433407584,0.17643944292411928,5,8,0,LLC,445292,16
727,380111.001,391757.6706627468,0.08085589414602402,4,9,0,LLC,445230,17
735,38738.318,20253.900750014214,0.1593862439887981,4,11,1,Partner,445291,15
731,1278291.461,251558.84224821866,0.4234567446114925,4,9,0,LLC,459910,20
644,23455.367,6637.928510169539,0.2944614292956198,5,10,0,Sole,459310,21
707,255982.967,227748.88763275964,0.0936641848765643,5,10,0,LLC,441120,15
612,135137.803,65596.29764240964,0.17167864632732724,5,12,0,Corp,722330,16
630,64212.421,50097.83799978055,0.10681169681128301,5,10,0,Partner,445131,17
690,84365.979,15859.636027561994,0.44329505656888374,5,12,0,LLC,445131,18
670,306252.549,176254.09151193238,0.14479689822276964,5,11,0,Corp,445230,15
681,200752.254,120129.85868955465,0.13926058585678353,5,11,0,LLC,445131,6
686,130063.535,197350.3141741008,0.05492075329104833,5,9,0,Partner,445240,18
698,228931.235,184439.87211451464,0.10343535103310961,5,9,0,Corp,722511,20
646,182249.475,60604.946347963014,0.2505976354273345,5,10,0,Sole,459210,21
700,83122.221,56300.682324829504,0.12303317586872563,5,10,0,LLC,459910,10
647,113475.023,139762.85001106185,0.06765926650693106,5,9,0,LLC,445320,16
732,158423.164,174596.49871324658,0.0756139466176575,4,8,1,Sole,445230,15
675,179746.101,355167.48507532285,0.04217402318464859,5,11,0,Corp,458210,25
722,139865.898,80613.535095505,0.14458479566975233,4,10,1,LLC,722410,18
629,312876.685,94676.94508591686,0.2753897166799448,5,8,0,Corp,459910,23
704,322616.011,81662.75309998043,0.32921578764823417,5,10,0,Partner,722330,20
662,98560.068,53579.77890718719,0.15329176729578223,5,11,1,LLC,459210,21
728,69401.537,56998.318388739746,0.10146722886142573,4,11,1,Partner,445320,12
684,222679.745,80749.3436001366,0.22980552645179983,5,9,0,LLC,445250,17
719,186015.316,193015.9014576691,0.08031087706384112,4,12,1,Partner,722330,17
678,299328.647,106151.39418185025,0.23498564582142434,5,10,1,Partner,722513,24
702,51182.258,59567.80829441924,0.07160223430725521,5,9,0,LLC,445230,20
712,131425.716,83419.42918888298,0.1312900736254325,5,9,1,Corp,722511,13
672,172555.408,222806.60841092627,0.06453855850995562,5,9,1,Partner,445131,21
686,444815.952,528903.8256953649,0.07008456774020429,5,9,0,Partner,445291,15
747,394886.326,89137.40405644088,0.36917379613721796,4,12,0,Partner,445240,20
735,160992.877,141878.53488579794,0.09456027364627294,4,9,1,LLC,459210,21
649,195132.848,63008.72108924835,0.25807650727640963,5,12,1,Sole,459210,22
689,192902.58,216826.82724794233,0.07413849662439569,5,12,1,Corp,444240,14
696,39976.86,11337.802923677766,0.29383161997310114,5,11,1,Sole,722514,15
572,79907.132,179302.15802396004,0.037138022988975054,5,9,0,Partner,722513,23
697,609976.554,149805.4433415339,0.3393159712101522,5,9,0,LLC,445131,15
696,48810.495,16008.680691286032,0.2540834768610305,5,8,1,Partner,445240,17
688,71153.726,18862.77423375691,0.3143480960534027,5,8,1,LLC,445292,18
667,29537.643,38124.74574743791,0.06456358466771984,5,9,0,Partner,441120,21
646,217501.013,255612.7738280914,0.07090836715717669,5,12,1,Partner,445291,18
674,177456.738,33770.630753458296,0.43789710674816534,5,8,1,LLC,458310,14
638,140542.459,41331.56221853901,0.28336387386973844,5,9,0,LLC,722330,14
728,10524.67,4689.014287977196,0.18704481997040115,4,11,0,Corp,459210,19
715,199628.939,58227.822570281685,0.28570096188273436,4,8,0,LLC,444240,11
722,140932.638,68642.24138075364,0.17109561494145745,4,12,1,Partner,445250,25
697,10588.272,2656.1223053257213,0.33219705215788115,5,9,1,Partner,459310,17
707,353280.389,170115.8659919847,0.17305871057349692,5,12,1,Corp,445250,15
680,213038.296,62368.27616149047,0.28465098646249115,5,11,1,Sole,722514,15
686,69629.114,35680.24229811212,0.1626229474056481,5,8,0,Partner,441120,11
753,50917.753,9476.573682247152,0.44775107814359005,4,11,1,Sole,444140,14
643,23533.176,12703.443431550248,0.15437530859777915,5,10,0,LLC,445240,21
765,110677.759,23831.21483791447,0.38701957269336057,4,13,0,Corp,722513,16
706,193674.43,119806.37438253695,0.13471349848047687,5,10,0,Sole,445230,21
664,274440.38,257943.71263024444,0.0886628770031323,5,12,1,Sole,722410,20
643,16040.905,11488.739262037214,0.1163523736455917,5,12,0,Partner,441120,15
622,156266.749,115144.07358398875,0.11309508755424237,5,10,0,LLC,445292,17
695,296718.439,86707.4562412801,0.28517197545880035,5,8,1,Partner,445291,21
699,26519.585,22134.14348233299,0.0998441804820961,5,10,0,Corp,458310,21
671,35829.467,8989.351847087792,0.3321472968747962,5,12,0,Sole,445320,13
639,206102.876,50252.89054700942,0.34177615416171864,5,12,0,Sole,458310,15
593,470018.105,153764.13365650672,0.25472894416434166,5,10,0,Partner,445250,15
727,146540.319,28961.00054231608,0.4216599227004262,4,8,0,Corp,459210,18
680,52475.569,23384.48577596196,0.18700279002194325,5,9,1,Partner,445320,14
738,80803.019,39084.542326424795,0.17228255765231607,4,10,1,LLC,445291,16
672,114388.44,20958.331216866813,0.45482485706345527,5,9,0,LLC,445292,14
617,241082.875,169535.2946028605,0.11850181185218737,5,9,0,Partner,459210,24
700,139142.569,97628.50247571759,0.11876873852712556,5,12,1,LLC,722330,24
771,218675.242,65304.6020302748,0.2790452168269136,4,12,1,Partner,458210,25
756,68102.049,63574.68281217224,0.08926777923166312,4,9,0,Corp,445110,23
654,159280.402,46618.88710467887,0.28472080003817085,5,12,1,Partner,445230,15
693,121902.92,35987.31775203302,0.28228212885059434,5,10,1,Partner,445110,14
616,393412.186,295605.8844622659,0.11090560288734122,5,11,0,LLC,458310,15
639,287700.124,320155.1664408196,0.07488559563122056,5,10,1,LLC,445250,21
755,28517.732,23289.093609192496,0.10204251425777434,4,13,1,Partner,445320,19
637,117372.984,21093.284917818222,0.46370596320621377,5,12,0,Sole,722514,13
667,687776.868,1358225.8363655773,0.042198239398365624,5,12,0,Partner,458310,10
737,131882.763,97842.11983972343,0.11232616656306357,4,11,1,Partner,445292,31
679,116905.656,70893.40404585224,0.13741952627495513,5,8,1,Sole,445250,15
730,112964.377,121562.78370962548,0.07743898087937538,4,10,1,Corp,445250,26
676,36482.336,7585.438912813152,0.400793507351465,5,12,1,LLC,722514,17
732,99194.889,45151.19140050569,0.18307912800518963,4,11,1,Corp,445291,16
620,261210.458,77161.0521955053,0.28210525319838303,5,11,1,Sole,445292,18
599,46347.996,11593.588934116278,0.33314386269418017,5,8,0,Partner,722330,9
662,24902.775,12052.417868663233,0.172183811797273,5,9,0,Corp,445230,11
700,49265.602,37486.037043848046,0.10951989479525669,5,9,1,Partner,458310,16
672,488511.661,106760.68331049308,0.38131364300974063,5,9,0,Sole,459910,26
691,168350.222,35687.243510264736,0.39311484403751856,5,12,1,Corp,445291,24
603,50806.949,14696.115041865583,0.288097392039005,5,8,0,LLC,445250,19
785,149528.431,27345.865810463954,0.45567043551296954,4,13,1,Corp,459210,14
700,10334.265,3106.124182288543,0.27725509331229947,5,8,1,Sole,459210,29
701,34394.177,26994.18200944309,0.10617774658495006,5,8,1,Corp,722511,27
697,90922.783,62493.211669030505,0.12124354599442333,5,8,1,Sole,445110,13
751,924823.967,1334878.1387020187,0.05773460639006726,4,11,1,Corp,445320,20
615,137796.516,56249.04782224261,0.20414644237691879,5,11,0,Sole,458210,18
748,585205.291,88360.92860402887,0.5519080475248623,4,10,1,Sole,722410,15
649,172248.169,60157.27572904209,0.23860811363842485,5,8,1,Sole,441120,11
681,45050.269,23522.236448278105,0.15960170673346627,5,12,0,LLC,722513,20
646,110654.667,21956.44656850256,0.41997789675257513,5,9,0,Partner,459910,18
673,350253.118,410729.5033521002,0.07106321702025861,5,11,0,Corp,444140,17
728,422765.754,884591.4018618646,0.03982683917778063,4,8,0,Sole,444140,17
627,268276.671,116051.40310460709,0.19264212798744246,5,9,0,Sole,445292,14
707,35806.32,13327.833285627796,0.22388185206500713,5,8,1,LLC,444140,22
734,149849.07,55156.16766675213,0.22640119914508414,4,11,0,Sole,458310,25
757,554401.364,183255.605525077,0.2521075059848282,4,11,1,LLC,459310,13
694,125326.808,28221.848022234004,0.37006437914479073,5,11,1,LLC,445320,16
787,571934.247,244531.74943700217,0.19490797149954048,4,12,1,LLC,458310,17
666,31846.063,13619.856022267979,0.19485070759884698,5,8,0,Partner,441120,19
628,234770.492,70668.19203501128,0.27684601945064524,5,10,0,Corp,722513,19
689,20039.712,6187.100039147404,0.2699125582960715,5,12,1,Corp,459310,16
678,345321.412,155142.97902099992,0.18548557282400868,5,8,1,LLC,722514,16
644,126150.703,84734.02240193251,0.12406537876211547,5,12,0,Corp,445250,25
667,171394.004,369428.4716591987,0.03866197318933966,5,11,0,LLC,445250,17
648,126013.405,206612.79499277758,0.050825105404050185,5,10,1,LLC,722514,18
675,499839.927,95884.43103795876,0.43441178926650015,5,11,1,Corp,445110,19
653,447788.46,462846.2451836683,0.08062224850758432,5,10,1,Partner,445230,18
637,540157.87,179553.59770206816,0.25069481430287627,5,10,0,Corp,444140,19
647,96018.589,199689.5340857306,0.04006994718059743,5,12,0,Corp,459310,18
629,174525.813,29523.314854603363,0.4926214356899115,5,8,1,Partner,459310,17
690,83713.169,25361.61630409269,0.2750651745938176,5,10,0,LLC,458210,26
695,94820.368,32039.07432091976,0.2466268923435768,5,9,0,LLC,445291,12
707,73286.002,60325.74216120643,0.10123649729850581,5,9,1,Partner,722513,14
765,35426.5,11207.79767198637,0.2634066406027573,4,11,1,Corp,458210,22
639,73000.17,24826.55324883965,0.24503391344846975,5,10,0,LLC,722410,23
709,35836.818,11642.40166181922,0.25651077730755345,5,8,0,Sole,444240,15
731,81075.879,27859.225728119804,0.24251654787306176,4,8,0,Partner,445110,20
716,188538.573,289090.29422509926,0.054348236740754265,4,9,1,Corp,458310,18
647,324540.967,148770.96899185434,0.18179004120631984,5,11,0,Partner,722513,21
652,856858.473,409696.7034066289,0.17428715475684411,5,11,1,Partner,459210,22
744,43940.331,17726.601800937147,0.20656492942750132,4,9,1,Corp,722513,18
724,125087.518,278270.8356385709,0.03745976400801262,4,12,1,LLC,459910,26
813,769816.707,1306917.0975041029,0.04908604560496892,4,12,1,Sole,445320,13
692,60411.275,26905.50359933286,0.18710941046245627,5,9,1,Sole,459210,19
685,49799.135,21308.56307332781,0.19475400112085373,5,11,0,Partner,459210,19
629,91573.201,48609.24730146535,0.15698864942315802,5,8,0,Corp,444240,23
678,449979.527,122163.336782781,0.3069521093987675,5,12,0,LLC,459210,25
666,49491.34,23809.28201028027,0.1732214491622456,5,10,1,Sole,445131,21
776,230995.797,116097.88810782584,0.16580533947458115,4,12,1,LLC,459310,21
685,260078.776,860983.4266476195,0.025172646374531996,5,9,1,Sole,445292,17
718,168758.066,81843.80030914329,0.17182941302269392,4,12,1,Corp,445250,20
735,23755.138,5891.838699432152,0.335989312389717,4,10,0,Corp,445110,15
665,872898.714,248500.50267620376,0.2927219813103649,5,12,1,LLC,722514,20
762,321925.451,149009.98107405083,0.18003573132013803,4,12,1,Sole,722513,17
713,54323.819,31802.259167715114,0.14234790342386597,5,12,0,Partner,459210,21
717,75225.877,88437.3935246834,0.07088430395207958,4,10,1,Partner,445110,21
626,542702.035,98967.47159025144,0.45697004133414815,5,9,0,LLC,445131,14
747,133746.325,42179.38619514517,0.2642410923612772,4,12,1,LLC,445292,22
605,53188.357,40754.57616884607,0.10875743290692237,5,11,1,Partner,722513,20
699,142588.936,89844.7771009399,0.13225489245728259,5,11,0,Partner,445250,25
702,129001.423,83341.81204387499,0.1289882991465793,5,10,0,Partner,445292,19
720,177913.359,78928.40878931367,0.18784254588960303,4,10,0,Sole,445250,20
733,24833.604,7570.604072865279,0.27335559752984945,4,11,1,LLC,445240,16
641,299688.754,151741.16687338185,0.16458330555855397,5,12,0,Sole,445292,11
722,240044.144,120241.13271119472,0.16636302582672094,4,10,0,Corp,441120,13
697,124248.555,29182.173047815504,0.35480723909884,5,12,0,LLC,459210,18
691,739661.901,176790.34121128416,0.3486530504307084,5,9,0,Corp,445250,16
637,60039.843,274492.13832583895,0.018227553912894774,5,12,0,Partner,445320,22
730,67468.26,36204.45619491176,0.15529455738076173,4,12,0,Partner,445230,17
742,70363.936,45882.6636353048,0.12779688162701805,4,9,0,Sole,458210,19
705,71546.473,46660.73769688621,0.12777779301442993,5,12,0,Corp,459310,14
700,455460.419,191022.97815066087,0.19869355657690208,5,10,1,Corp,445131,12
708,18542.25,3884.99767103357,0.39773189866261005,5,12,0,Partner,444140,11
753,126748.199,63457.19097673241,0.16644843167639614,4,13,1,LLC,722410,11
717,465730.427,172591.25483008087,0.2248715843388279,4,10,1,Partner,459310,17
707,143439.737,50713.5990148102,0.2357022898961651,5,9,0,LLC,445230,31
729,137606.09,31547.5614973515,0.3634884479939714,4,11,1,Partner,441120,15
652,187147.207,152367.34573919463,0.10235526849714989,5,12,0,Partner,722513,18
762,282421.363,119088.20594623954,0.1976275769403889,4,11,1,LLC,445320,21
727,1102889.27,718722.1072701295,0.12787618223648647,4,9,0,Corp,722511,15
666,196158.598,77120.401251481,0.21196142094786388,5,8,0,LLC,459210,16
766,175950.03,54154.24394818836,0.27075444934709514,4,13,0,Sole,445110,14
652,55149.491,116007.74266475765,0.03961624294291898,5,11,0,Sole,722514,18
689,66030.174,24730.159268343712,0.22250218610777786,5,9,1,LLC,458210,11
698,190100.251,141531.5133078241,0.11193046137278587,5,8,1,LLC,441120,22
731,223432.457,110628.40269703824,0.16830552518829006,4,10,1,LLC,459210,15
737,237836.709,131633.17366014718,0.15056786369954822,4,10,1,Corp,458210,14
647,48097.141,17992.01560271924,0.22277076520140227,5,11,1,Sole,445240,25
724,517870.89,189876.87622865415,0.22728363957299705,4,10,1,Corp,445320,20
736,340910.59,111169.70496242002,0.2555481805311693,4,12,1,Sole,445320,13
661,59172.154,28066.66178442548,0.1756893239106052,5,8,0,Corp,445131,19
762,36158.223,24307.083716613677,0.12396325635479316,4,10,1,Sole,444240,15
644,118078.385,30686.610805023236,0.3206566368370642,5,10,0,LLC,458310,21
650,299101.574,491237.4189001287,0.050739479949376755,5,10,0,Sole,459310,12
714,197974.993,47404.44733721876,0.3480246476870175,4,11,0,Sole,458310,19
644,206447.096,273465.2810046143,0.06291081852681832,5,11,1,Corp,722511,12
604,377191.046,252644.27136887485,0.12441440685101986,5,8,0,Sole,445230,18
638,67524.118,35818.92282772227,0.15709600929088452,5,8,0,Sole,459210,11
582,410020.466,122858.47677601072,0.2781116375792343,5,12,0,Sole,444140,20
685,47305.115,28345.012165558568,0.13907536513449167,5,9,1,Corp,444140,18
693,179903.81,45317.226494853996,0.3308230738341651,5,9,0,Partner,444240,18
623,302343.298,112410.71345067717,0.22413588580583424,5,10,1,Corp,722514,19
746,122173.121,41424.48032765968,0.24577480118365214,4,10,1,LLC,441120,20
713,59910.106,43153.7257312121,0.11569125837314126,5,11,0,Sole,458210,22
613,244737.089,148562.59996593816,0.13728056335405206,5,11,0,LLC,445131,18
747,88434.35,59396.42211565032,0.12407362100561399,4,12,0,Sole,459210,13
689,171199.576,162054.71665505023,0.08803589076460695,5,11,1,Corp,441120,17
687,53710.882,28920.677716451533,0.1547649359125223,5,12,1,Corp,722514,20
679,450233.615,204824.26657438037,0.18317882223707005,5,10,0,Sole,445291,22
723,461094.017,1212408.6669192852,0.03169269773887614,4,11,0,LLC,459910,15
676,23112.323,8609.814179229055,0.22370133391649202,5,11,1,LLC,459910,18
698,503431.165,201552.33701380735,0.20814741076636273,5,11,1,LLC,459210,23
713,50918.588,13085.55937860345,0.3242670446022249,5,11,1,Corp,445131,17
764,32047.338,10818.796778091935,0.24684921574716964,4,13,1,LLC,445291,21
835,287552.861,59937.181638021015,0.3997975507321144,3,9,1,Partner,445292,19
625,336105.299,98738.80128566515,0.2836653326956377,5,9,1,Partner,459210,25
789,533638.273,384819.3789188472,0.11556033432690349,4,13,0,LLC,722514,17
608,24347.232,36336.339906278845,0.05583765467939725,5,9,0,Partner,444240,18
667,435429.928,1644594.346357138,0.02206369456012562,5,8,0,Corp,722330,19
666,102158.579,39711.92297793073,0.21437428052521532,5,9,0,LLC,722330,19
688,144833.312,57369.24530537771,0.21038175772438295,5,10,0,Sole,445110,13
661,206146.964,69190.2821681381,0.24828506443896972,5,9,1,LLC,459910,22
625,237039.504,81929.35244409108,0.2411015272393337,5,9,0,Corp,444240,18
662,178147.066,79354.06750292021,0.18708037660182977,5,11,0,Corp,458210,25
715,26416.185,97052.70056350357,0.02268199377470813,4,9,1,Partner,458210,20
644,614008.94,240361.69353196854,0.21287673137425828,5,9,0,LLC,722514,17
726,445153.497,278644.516434131,0.13313064697890503,4,12,0,Sole,458310,20
692,96328.472,23881.299200673515,0.33613634665404946,5,11,1,Corp,722514,20
687,167539.596,44561.54184176583,0.3133112639947816,5,10,0,Corp,444240,17
850,93863.622,32789.19593740802,0.2385532269510823,3,11,1,Sole,445110,15
744,17952.325,4163.0264970998805,0.3593604519153365,4,12,1,LLC,444140,14
735,288902.913,95654.90308952116,0.2516885384063225,4,11,1,Sole,722513,15
677,252762.221,160499.34562550572,0.1312374099381958,5,11,0,Corp,445240,22
747,110109.956,120763.93219152422,0.07598154101271198,4,11,1,Partner,445250,19
741,332327.141,290423.09799758444,0.09535718270210383,4,11,1,Partner,445292,20
681,194707.16,70814.05311528996,0.2291296141494729,5,8,0,Sole,445291,17
703,171445.886,37865.28543360949,0.3773154487826807,5,9,0,Corp,445250,16
669,124238.894,55368.0512440447,0.18698944488822414,5,12,0,Corp,722511,18
701,53723.941,14025.68191436554,0.3191998157856308,5,12,1,Corp,722410,14
651,213101.158,62377.07954286506,0.28469479436160317,5,11,0,LLC,445110,22
690,274364.702,162857.70226854103,0.1403908126430887,5,8,0,Partner,445320,15
671,95530.368,17542.647923513414,0.45380059126248545,5,8,0,Sole,458310,17
738,86018.3,43233.05851510999,0.16580348263265662,4,9,1,Partner,458310,15
636,156635.101,55684.94354291548,0.23440672204818988,5,8,0,LLC,445230,18
676,129338.089,109850.14312158826,0.09811706910025096,5,8,0,Corp,458310,18
713,144229.908,52742.826726267616,0.22788234431155496,5,11,1,Sole,445230,18
679,163853.977,65376.93190680501,0.20885804342727274,5,10,0,Sole,458310,25
657,25152.495,6130.5570245005,0.3419006203878805,5,11,0,Partner,459910,25
693,109009.403,40403.08041148502,0.22483723577879494,5,8,1,Corp,441120,19
674,497573.428,168628.284543364,0.24589262973063364,5,12,1,Corp,459210,18
683,253237.295,114211.04446735204,0.184772917672591,5,11,1,Corp,444140,23
666,257985.66,302477.02859722887,0.071075827145298,5,10,1,LLC,722330,16
768,163454.485,116086.87043435688,0.11733632780664593,4,9,1,Partner,458210,23
615,14253.057,20810.483839581666,0.057074826282553,5,10,0,Corp,441120,20
701,20059.426,6634.097567984629,0.25197380897748145,5,9,1,Partner,459210,16
779,187379.697,73657.55731573039,0.21199419745983414,4,11,1,Partner,445240,22
658,79274.354,16969.901177551284,0.3892890181002177,5,9,0,Partner,722410,11
734,219756.319,211029.15774594384,0.0867796032498041,4,12,1,LLC,459210,22
696,16307.39,8402.067481945893,0.16173985386177095,5,12,1,Corp,444240,16
681,291392.888,197078.668867555,0.12321343961880353,5,11,0,Corp,459210,10
622,110391.006,41842.25883133257,0.21985549434800977,5,8,0,Sole,459210,19
746,151886.345,36755.273338593135,0.34436406716574675,4,10,1,LLC,458210,15
674,602129.195,201360.7822184165,0.24919168650347756,5,11,0,Partner,459310,12
672,150254.115,114713.84678853513,0.10915139366812172,5,12,0,Partner,722514,14
669,87603.927,58551.574034049525,0.1246819982286836,5,10,0,Partner,722511,12
729,91650.707,23734.831550228788,0.3217869442428398,4,12,0,Sole,445320,21
642,25275.672,9785.833576432024,0.21524032506262716,5,9,0,Partner,722511,13
740,507742.781,207172.06487318937,0.20423553939362388,4,12,1,Partner,458210,18
841,130081.627,111320.67704611225,0.09737755708082008,3,13,1,Corp,459210,12
752,102774.454,42885.508259113485,0.19970703813480645,4,9,1,Partner,459210,18
718,11497.076,6369.061672114356,0.15042869986036841,4,12,1,LLC,445292,11
664,15664.185,5894.9173395449125,0.22143631111556397,5,9,0,Partner,445320,16
729,193023.788,143290.60783886278,0.11225659454774163,4,11,1,Corp,459210,21
687,290721.812,295426.2853557797,0.08200630366214871,5,11,0,Corp,445230,15
746,43789.769,32596.315096229195,0.11194969142658727,4,12,0,Corp,722513,21
772,49148.461,24626.832700394276,0.16631067150051176,4,11,0,Partner,722511,18
714,14343.643,4657.347468127675,0.2566490027882467,4,8,0,LLC,459210,16
639,129611.3,31680.75693417254,0.340930669336887,5,11,0,LLC,445131,13
639,161150.713,39522.24013189276,0.33978909187631096,5,9,1,Partner,445131,17
710,67884.884,22219.36114759262,0.254601094472943,5,8,0,Sole,722511,16
696,31506.078,18927.372412690158,0.1387147905559087,5,11,0,Sole,459210,16
659,720683.513,287022.6648264877,0.20924117422215624,5,12,0,Sole,459210,14
669,45109.618,23259.018798522677,0.16162052517761838,5,9,0,Corp,458210,28
678,191346.057,146673.08438191982,0.10871459352746508,5,8,0,Partner,445131,12
711,318887.254,88222.62299255714,0.30121455168676214,5,10,0,Corp,722410,10
737,193910.794,90441.6188618297,0.17867031834116398,4,10,0,Partner,445230,19
767,65079.361,100353.3399537891,0.05404184938768013,4,12,1,LLC,459210,17
744,217671.702,1054512.0955538247,0.01720161255283973,4,12,1,LLC,444240,22
638,273565.287,103246.07369733384,0.22080362413421925,5,8,0,Corp,722410,16
663,623043.855,213961.5973566853,0.24266186965993752,5,11,0,Partner,459310,19
654,365136.157,115737.46657610888,0.2629054703156466,5,8,0,Partner,722514,23
749,908295.134,209553.94569368538,0.3612017942019954,4,9,0,LLC,722410,20
754,280998.087,151544.82736552728,0.1545186837259658,4,9,0,Partner,445131,13
646,567108.092,365529.0639636176,0.12928932970257742,5,10,0,Sole,459310,19
717,114380.669,45088.08362597244,0.21140225199493806,4,9,0,Partner,459210,20
743,634668.482,331936.61899489054,0.1593347559145946,4,13,0,Sole,441120,20
759,461588.421,236103.6441005599,0.16291871265492586,4,11,1,Partner,445291,16
679,51430.18,13059.23682183722,0.32818520651732735,5,8,0,Partner,445131,26
726,46985.142,29881.748830756398,0.13103076805096378,4,9,1,Partner,445131,20
